1: tabby
2: Egyptian_cat
3: tiger_cat
4: lynx
5: Persian_cat
6: Angora
7: Siamese_cat
8: remote_control
9: Siberian_husky
10: Eskimo_dog
11: red_fox
12: kit_fox
13: grey_fox
14: wallaby
15: hamster
16: hare
17: hen
18: screwdriver
19: bow_tie
20: plastic_bag
21: bubble
22: hair_slide
23: Arctic_fox
24: macaque
25: timber_wolf
26: tiger
27: paintbrush
28: ice_lolly
29: window_screen
30: snow_leopard
31: Pembroke
32: schipperke
33: wood_rabbit
34: cougar
35: carton
36: Chihuahua
37: laptop
38: coyote
39: black-footed_ferret
40: letter_opener
41: rubber_eraser
42: malamute
43: mousetrap
44: West_Highland_white_terrier
45: bolo_tie
46: wombat
47: sleeping_bag
48: mouse
49: goldfish
50: cock
51: toy_terrier
52: feather_boa
53: paper_towel
54: washer
55: Cardigan
56: radio
57: lens_cap
58: syringe
59: Pomeranian
60: hammer
61: kite
62: broom
63: guinea_pig
64: axolotl
65: ping-pong_ball
66: prairie_chicken
67: matchstick
68: mask
69: muzzle
70: weasel
71: fox_squirrel
72: Band_Aid
73: washbasin
74: saltshaker
75: thimble
76: papillon
77: bow
78: crossword_puzzle
79: pinwheel
80: dhole
81: barracouta
82: nipple
83: space_heater
84: mitten
85: punching_bag
86: wall_clock
87: white_wolf
88: drumstick
89: whistle
90: bucket
91: leopard
92: quill
93: squirrel_monkey
94: buckle
95: rule
96: mink
97: marmoset
98: necklace
99: ballpoint
100: umbrella
101: screw
102: guenon
103: can_opener
104: dishwasher
105: pencil_box
106: Ibizan_hound
107: great_grey_owl
108: house_finch
109: langur
110: piggy_bank
111: broccoli
112: bath_towel
113: magnetic_compass
114: bottlecap
115: radiator
116: Shetland_sheepdog
117: carpenter's_kit
118: puffer
119: purse
120: lipstick
121: indri
122: loupe
123: Madagascar_cat
124: dogsled
125: bonnet
126: candle
127: coho
128: kelpie
129: flute
130: window_shade
131: basenji
132: groenendael
133: black_swan
134: llama
135: lighter
136: tub
137: water_bottle
138: ladle
139: hamper
140: Border_collie
141: snorkel
142: dingo
143: Scotch_terrier
144: Norwegian_elkhound
145: hog
146: tiger_shark
147: printer
148: Samoyed
149: wig
150: Boston_bull
151: sunscreen
152: crane
153: Australian_terrier
154: jean
155: plunger
156: peacock
157: doormat
158: spindle
159: church
160: sunglasses
161: analog_clock
162: tray
163: shower_curtain
164: pill_bottle
165: face_powder
166: spatula
167: shovel
168: modem
169: French_bulldog
170: collie
171: strawberry
172: Yorkshire_terrier
173: ocarina
174: ruffed_grouse
175: wooden_spoon
176: diaper
177: safety_pin
178: harmonica
179: toilet_tissue
180: mailbox
181: hook
182: bib
183: vulture
184: racket
185: soap_dispenser
186: bearskin
187: tennis_ball
188: pick
189: maraca
190: lycaenid
191: notebook
192: wok
193: stethoscope
194: spider_monkey
195: computer_keyboard
196: worm_fence
197: fountain_pen
198: goblet
199: water_jug
200: red_wolf
201: eft
202: picket_fence
203: goose
204: electric_ray
205: mailbag
206: microwave
207: wool
208: crayfish
209: German_shepherd
210: oscilloscope
211: drum
212: toilet_seat
213: patas
214: barrel
215: fig
216: cellular_telephone
217: jay
218: swab
219: hatchet
220: totem_pole
221: soup_bowl
222: cucumber
223: tench
224: iron
225: gasmask
226: golf_ball
227: sunglass
228: keeshond
229: lacewing
230: lab_coat
231: panpipe
232: gazelle
233: wild_boar
234: ashcan
235: macaw
236: Norwich_terrier
237: corkscrew
238: lorikeet
239: sweatshirt
240: chainlink_fence
241: koala
242: nematode
243: gar
244: bathtub
245: lotion
246: scale
247: swing
248: velvet
249: fur_coat
250: coffee_mug
251: frying_pan
